objname,objtype,de2000,al2000,v,e_v,vopt,e_vopt,vrad,e_vrad,bt,e_bt,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,incl,logdc,btc,itc,ubtc,bvtc,m21c,hic,mabs,agnclass,kt,e_kt,it,e_it,ut,vt,mfir,e_ut,e_vt
PGC1224534,G ,2.3636223,11.2783632,1600.6,97.1,1600.6,97.1,,,17.87,0.5,S0,,,,,-2,2,0.529,0.096,0.161,0.027,64.37,55.32,0.553,17.582,16.596,,,,,-14.281,,,,16.712,0.075,19.027,,,0.084,
PGC1226108,G ,2.411654,14.5270827,1703,4.3,,,1703,4.3,18.25,0.5,,,,,,,,0.34,0.121,0.09,0.028,178,36.3,,18.083,,,,16.698,-1.385,-14.079,,,,,,,,,,
PGC1231065,G ,2.570469,8.4381575,2586,4.3,,,2586,4.3,16.845,0.5,SBc,B,,,,4.9,3,0.649,0.082,0.269,0.027,125.8,59.44,0.66,16.143,15.843,,,17.756,1.613,-16.662,,,,15.945,0.082,17.695,,,0.026,
PGC1234571,G ,2.6832558,8.4091566,2666,4.3,,,2666,4.3,18.043,0.5,,,,,,,,0.476,0.098,0.41,0.028,56.01,69.44,,17.828,17.5,,,16.195,-1.633,-15.045,,,,17.583,0.092,18.789,,,0.049,
PGC1234729,G ,2.6896754,11.3341882,1629.2,3.2,1642.9,39.9,1629,4.3,18.057,0.5,I,,,,,10,2,0.436,0.104,0.175,0.033,32.1,54.9,0.445,17.555,17.22,,,17.239,-0.317,-14.361,,,,17.298,0.052,18.575,,,0.03,
PGC1235691,G ,2.7244022,14.8520703,1523,4.3,,,1523,4.3,18.011,0.5,,,,,,,,0.521,0.09,0.3,0.028,88.83,61.58,,17.804,17.729,,,18.038,0.235,-14.112,,,,17.813,0.087,17.88,,,0.032,
PGC1236745,G ,2.7624078,12.9044151,905,4.3,,,905,4.3,16.929,0.5,Sm,,,,,9,2,0.864,0.075,0.494,0.03,168,90,0.859,15.869,15.849,,,16.185,0.316,-14.914,,,,15.914,0.109,18.214,,,0.074,
PGC1256137,G ,3.646035,10.2839732,1038.2,0.8,1038.2,1.2,1038.5,4,16.758,0.5,I,,,,,10,2,0.692,0.083,0.326,0.03,53.08,75.9,0.689,16.048,16.022,,,18.338,2.29,-14.821,,,,16.069,0.107,17.361,,,0.043,
PGC1263558,G ,4.1051993,11.2320042,1603.5,3.1,1600.8,2.6,1609,3.8,16.641,0.483,Sd,,,,,8.3,3,0.624,0.093,0.128,0.028,134.41,47.26,0.638,16.2,15.477,,,17.378,1.178,-15.663,,14.118,0.55,15.565,0.087,16.966,,,0.028,
PGC1268744,G ,4.47672,9.9271539,1943.5,1.1,1943.8,1.7,1942,3.8,17.38,0.802,I,,,,,10,2,0.669,0.099,0.314,0.031,11.57,74.21,0.677,16.578,15.834,,,17.539,0.96,-15.675,,,,15.929,0.041,17.497,,,0.011,
PGC1275866,G ,4.9548434,11.5884458,1415.6,1.5,1415.4,2.5,1416.1,3.8,17.926,0.5,I,,,,,10,2,0.51,0.095,0.27,0.028,162.02,68.13,0.51,17.313,17.998,,,17.282,-0.031,-14.326,,,,18.046,0.554,20.532,,,0.312,
PGC1277283,G ,5.044914,9.6823181,1870.7,4.1,1813.1,50.4,1871,3.8,18.36,0.5,I,,,,,10,2,0.51,0.095,0.11,0.028,9,43.91,0.528,17.918,,,,17.015,-0.903,-14.244,,,,,,,,,,
PGC1277883,G ,5.0840307,9.3429767,-63,24.9,-63,24.9,,,15.922,0.5,,,,,,,,0.599,0.087,0.15,0.027,17.15,45.82,,15.67,14.533,,,,,,,,,14.645,0.122,17.59,,,0.012,
PGC1278091,G ,5.0961921,14.1604551,1810.1,3,1834.7,50.1,1810,3.8,16.331,0.5,I,,,,,10,2,0.601,0.111,0.154,0.035,109.06,51.6,0.606,15.935,15.467,,,18.43,2.494,-16.319,,,,15.516,0.083,17.383,,,0.033,
PGC1283560,G ,5.4464882,13.8619235,1241.1,23.4,1241.1,23.4,,,16.157,0.5,S0,,,,,-2,2,0.891,0.066,0.513,0.036,101.06,90,0.882,16.036,15.03,,,,,-15.481,,,,15.076,0.059,17.339,,,0.023,
PGC1284444,G ,5.5034627,13.8696725,1237.4,4.8,1216.2,14,1239,3.8,17.334,0.5,Sm,,,,,9,2,0.7,0.073,0.5,0.028,6.11,90,0.69,16.306,16.329,,,17.362,1.056,-15.212,,,,16.377,0.107,18.412,,,0.059,
PGC1284712,G ,5.5172166,15.8327743,1949,3.8,,,1949,3.8,18.053,0.5,,,,,,,,0.379,0.116,0.151,0.027,17.26,46.07,,17.746,17.191,,,17.784,0.038,-14.72,,,,17.317,0.119,18.666,,,0.054,
PGC1291407,G ,5.9221424,9.6585191,101,27.3,101,27.3,,,17.668,0.5,,,,,,,,0.426,0.12,0.18,0.028,92.96,49.72,,17.402,16.158,,,,,,,13.36,0.093,16.274,0.071,18.686,,,0.038,
PGC1297331,G ,6.2570712,9.6023836,2400.9,2.6,2399.7,1.3,2411,3.8,17.111,0.5,Sbc,,,,,4,2.4,0.563,0.097,0.359,0.027,47.43,67.41,0.572,16.28,16.047,,,17.68,1.401,-16.418,,,,16.157,0.042,18.013,,,0.054,
PGC1302315,G ,6.5190348,15.1946561,-15,6.3,-15,6.3,,,17.321,0.5,,,,,,,,0.623,0.082,0.041,0.027,,24.95,,17.171,15.818,,,,,,,,,15.884,0.17,18.551,,,0.066,
PGC1302982,G ,6.5549091,13.8411907,7.5,26.7,7.5,26.7,,,19.098,0.5,,,,,,,,0.39,0.115,0.137,0.029,62.24,44.02,,18.997,17.241,,,,,,,,,17.285,0.163,21.256,,,0.177,
PGC1303757,G ,6.5940329,8.7071726,2260.3,0.9,2260.1,1,2263.3,3.6,17.483,0.5,Sm,,,,,9,2,0.453,0.099,0.112,0.026,9.76,44.23,0.461,17.142,16.756,,,18.082,0.939,-15.404,,,,16.814,0.036,18.125,,,0.057,
PGC1308051,G ,6.8161432,12.8061684,55.8,34.8,55.8,34.8,,,18.61,0.5,,,,,,,,0.396,0.11,0.08,0.028,133.32,34.35,,18.495,16.745,,,,,,,14.671,0.126,16.795,0.183,20.337,,,0.17,
PGC1310754,G ,6.9514888,9.1400037,1560.7,2.3,1559.7,1.1,1571,3.8,16.957,0.354,I,,,,,10,2,0.773,0.064,0.397,0.029,13.28,90,0.775,16.029,16.095,,,17.574,1.545,-15.725,,,,16.179,0.078,17.819,,,0.065,
PGC1312117,G ,7.0180115,9.7940685,3023.1,1,3023.1,1,,,17.606,0.486,E,,,,,-5,3,0.572,0.095,0.279,0.027,144.83,90,0.58,17.443,16.421,,,,,-15.745,,,,16.473,0.095,17.851,,,0.044,
PGC1313709,G ,7.0943621,10.7658033,18,22.5,18,22.5,,,18.611,0.5,,,,,,,,0.427,0.103,0.156,0.035,178.19,46.72,,18.503,17.152,,,,,,,,,17.2,0.076,19.933,,,0.069,
PGC1314481,G ,7.1286438,9.8016434,526.1,3.6,523.2,1.7,534.4,2.9,16.777,0.5,I,,,,,10,2,0.75,0.068,0.42,0.028,167.7,90,0.744,15.882,15.979,,,15.875,-0.007,-13.476,,,,16.029,0.102,17.356,,,0.072,
PGC1316080,G ,7.1990849,8.5383612,2009,3.8,,,2009,3.8,17.833,0.5,,,,,,,,0.434,0.115,0.166,0.034,53.39,47.98,,17.687,17.063,,,18.031,0.344,-14.567,,,,17.119,0.071,18.646,,,0.054,
PGC1318724,G ,7.3082107,15.1895499,-54,39.6,-54,39.6,,,18.365,0.5,,,,,,,,0.388,0.114,0.179,0.027,43.34,49.55,,18.198,16.847,,,,,,,,,16.921,0.072,19.785,,,0.136,
PGC1319696,G ,7.3490438,15.0582907,40.5,9.6,40.5,9.6,,,18.758,0.5,,,,,,,,0.427,0.103,0.073,0.03,117.25,32.97,,18.596,17.626,,,,,,,14.028,0.142,17.697,0.084,19.69,,,0.085,
PGC1327529,G ,7.659986,15.2682774,-12,9.3,-12,9.3,,,19.271,0.5,,,,,,,,0.386,0.134,0.19,0.028,18,50.91,,19.127,16.947,,,,,,,14.474,0.108,17.01,0.072,21.226,,,0.11,
PGC1330929,G ,7.7868703,17.1655683,2591.1,4.2,2596,60,2591,6,16.7,0.5,Sm,,,,,9,1.4,0.86,0.058,0.48,0.028,136,90,0.892,15.264,,,,14.359,-0.904,-17.773,,,,,,,,,,
PGC1333103,G ,7.8710553,9.9952775,93.8,23.7,93.8,23.7,,,17.622,0.5,,,,,,,,0.39,0.116,0.153,0.037,56.77,46.27,,17.487,16.099,,,,,,,,,16.158,0.071,19.115,,,0.059,
PGC1353180,G ,8.7590569,13.3995506,80.3,23.4,80.3,23.4,,,17.774,0.5,,,,,,,,0.496,0.095,0.1,0.028,42.19,38.13,,17.668,16.582,,,,,,,,,16.628,0.089,18.698,,,0.029,
PGC1365365,G ,9.4560554,9.7119059,3171.4,1.9,3171.4,1.9,,,18.573,2.057,Sd,,,,,7.9,2.9,0.672,0.084,0.206,0.031,114.72,59.4,0.674,18.071,18.082,,,,,-15.232,,,,18.134,2.154,17.413,,,0.693,
PGC1371594,G ,9.8954643,9.6392677,3278.3,1.6,3278.3,1.6,,,17.658,0.5,E,,,,,-5,3,0.418,0.109,0.054,0.031,111.67,40.04,0.44,17.459,16.64,,,,,-15.926,,,,16.706,0.055,18.613,,,0.028,
PGC1380637,G ,10.5175507,11.9586861,-86.9,21.3,-86.9,21.3,,,18.256,0.5,,,,,,,,0.369,0.112,0.15,0.028,129.76,45.87,,18.157,16.952,,,,,,,,,16.996,0.075,19.676,,,0.044,
PGC1381842,G ,10.6017084,18.5552101,3165.1,6,,,3165.1,6,17.96,0.5,,,,,,,,0.576,0.087,0.31,0.028,179,62.39,,16.817,,,,15.124,-1.693,-16.621,,,,,,,,,,
PGC1382031,G ,10.6144317,11.9794448,10.8,20.1,10.8,20.1,,,16.703,0.5,,,,,,,,0.596,0.083,0.205,0.033,76.62,52.61,,16.589,15.463,,,,,,,13.408,0.088,15.513,0.074,17.814,,,0.017,
PGC1382523,G ,10.6500479,12.9153355,-75.4,60,-75.4,60,,,17.12,0.5,,,,,,,,0.6,0.083,0.11,0.028,,39.85,,17.02,,,,,,,,12.711,0.151,,,,,,,
PGC1387217,G ,10.9806562,8.1274358,1785.3,1,1785.1,1.2,1788,3.8,17.27,0.5,I,,,,,10,2,0.463,0.109,0.23,0.027,42.82,62.78,0.464,16.733,16.592,,,18.456,1.722,-15.285,,,,16.64,0.366,18,,,0.133,
PGC1388083,G ,11.0431714,10.8720819,826.9,8.5,826.9,8.5,,,16.325,0.5,E,,,,,-5,2,0.871,0.055,0.128,0.028,101.19,66.02,0.882,16.21,15.207,,,,,-14.294,,,,15.252,0.09,17.438,,,0.047,
PGC1390693,G ,11.2357905,10.1137655,3128.2,1.3,3128.2,1.3,,,18.079,0.5,Sd,,,,,8,2,0.334,0.119,0.079,0.027,19.79,37.46,0.349,17.733,16.891,,,,,-15.569,,,,16.976,0.099,18.947,,,0.162,
PGC1392076,G ,11.3346623,10.2430655,258.7,24.3,258.7,24.3,,,18.1,0.5,S?,,,,,10,5,0.404,0.107,0.18,0.028,43.22,55.67,0.411,17.612,17.127,,,,,,,,,17.194,0.093,18.883,,,0.041,
PGC1396011,G ,11.6010953,13.4347926,-57,21.9,-57,21.9,,,17.683,0.5,,,,,,,,0.51,0.091,0.079,0.027,144.93,34.14,,17.561,16.553,,,,,,,,,16.607,0.08,18.592,,,0.036,
PGC1396285,G ,11.6207314,9.4607192,3207.6,2.6,3209,6.4,3207,4.3,16.718,0.5,E?,,,,,-2.9,4.7,0.672,0.084,0.107,0.036,148.06,47.27,0.686,16.528,15.609,,,17.542,1.014,-16.802,,,,15.671,0.041,17.697,,,0.057,
PGC1400945,G ,11.9244973,11.9587493,14.4,20.7,14.4,20.7,,,18.075,0.5,,,,,,,,0.463,0.1,0.134,0.031,144.56,43.64,,17.98,16.252,,,,,,,13.542,0.06,16.294,0.071,19.971,,,0.07,
PGC1404402,G ,12.1385278,18.4955583,2518,23,2518,23,,,14.37,0.5,Sa,,,,,1,2,1.154,0.042,0.32,0.028,140.5,68.39,1.259,12.815,,,,,,-20.19,,9.559,0.051,,,,,,,
PGC1408268,G ,12.3672153,14.5828555,-95.9,32.4,-95.9,32.4,,,17.837,0.5,,,,,,,,0.535,0.09,0.134,0.035,174.16,43.56,,17.727,15.821,,,,,,,13.128,0.146,15.869,0.166,19.685,,,0.065,
PGC1415041,G ,12.726545,9.9901059,100.4,23.4,100.4,23.4,,,18.121,0.5,,,,,,,,0.335,0.119,0.026,0.036,,20.14,,17.99,17.184,,,,,,,,,17.241,0.071,19.019,,,0.029,
PGC1420152,G ,12.9795655,11.3733367,564.1,8.4,564.1,8.4,,,16.77,0.5,S0,,,,,-2,2,0.629,0.084,0.048,0.028,151.63,30.33,0.639,16.654,15.914,,,,,-13.288,,,,15.961,0.095,18.115,,,0.143,
PGC1421023,G ,13.0183151,13.7336125,-27,7.5,-27,7.5,,,18.51,0.5,,,,,,,,0.56,0.085,0.311,0.027,152.91,62.47,,18.4,16.157,,,,,,,12.644,0.049,16.206,0.122,20.767,,,0.099,
PGC1421948,G ,13.0593714,14.1106215,-45,10.5,-45,10.5,,,17.789,0.5,,,,,,,,0.539,0.088,0.12,0.028,112.57,41.47,,17.687,16.22,,,,,,,14.643,0.099,16.265,0.149,18.74,,,0.04,
PGC1426812,G ,13.2688833,11.4319469,-27,20.4,-27,20.4,,,16.979,0.354,,,,,,,,0.615,0.08,0.081,0.027,17.68,34.49,,16.86,15.976,,,,,,,,,16.028,0.151,17.87,,,0.016,
PGC1430862,G ,13.4313555,8.7826912,2214.1,3.2,2210,3.5,2217.8,3.3,17.493,0.504,Sd,,,,,8,2,0.905,0.055,0.43,0.028,15.8,90,0.901,16.566,16.671,,,16.463,-0.103,-15.941,,,,16.732,0.571,18.242,,,0.082,
PGC1431845,G ,13.4714187,8.0376527,-45,20.7,-45,20.7,,,18.09,0.5,,,,,,,,0.42,0.108,0.17,0.028,165,48.49,,17.966,16.609,,,,,,,14.737,0.118,16.663,0.08,19.438,,,0.04,
PGC1433033,G ,13.5175561,15.6435348,2404,3.8,,,2404,3.8,18.12,0.5,,,,,,,,0.53,0.092,0.21,0.028,154,53.14,,17.899,,,,17.62,-0.279,-15.008,,,,,,,,,,
PGC1433430,G ,13.5314663,8.7229046,-18,4.8,-18,4.8,,,17.64,0.5,,,,,,,,0.388,0.114,0.036,0.035,,23.49,,17.493,15.764,,,,,,,12.999,0.153,15.828,0.076,19.594,,,0.036,
PGC1438155,G ,13.7046095,8.1228372,256.9,26.1,256.9,26.1,,,18.591,0.5,,,,,,,,0.378,0.117,0.22,0.028,128,54.21,,18.467,17.268,,,,,,,,,17.321,0.073,19.516,,,0.034,
PGC1441580,G ,13.8249288,10.6947173,1271.1,27.3,1271.1,27.3,,,17.171,0.5,E,,R,,,-5,2,0.456,0.116,0.154,0.03,166.51,77.61,0.474,17.008,16.092,,,,,-14.446,,,,16.156,0.076,18.307,,,0.021,
PGC1454473,G ,14.2943562,16.5852482,20.4,18.6,20.4,18.6,,,18.667,0.5,,,,,,,,0.374,0.123,0.17,0.028,,48.49,,18.422,17.31,,,,,,,,,17.418,0.076,19.91,,,0.053,
