# NED name
# SDSS ID in catalog
# RA
# DEC
# CO : Observed at IRAM/30m =O,  Literature=L not observed=N, Literature but reobserved OL
# Detected (Y=1/N=0 unclear=2)]
# HI (Y=1/N=0)
#
# attention certains (rares) ID_SDSS du fichier nasa ne sont pas exactement les ID_SDSS que donne NED
# HI Jy km/s
# H2 mass/Msun
# Reference for H2
                                             RA          DEC        v       CO?   detect HI?  HIJykm/s H2mass
# Filament 1 & Group 5354
      UGC05015    J092546.99+341637.9   09 25 48.00   34 16 37.50   1650     N   xxx     1     4.0     xxx
       NGC3032    J095207.90+291413.0   09 52 08.15   29 14 10.40   1562     L     1     1     1.4    8.41
       NGC3245    J102718.19+283024.9   10 27 18.39   28 30 26.80   1326     L     1     0     0.7     xxx
      UGC05577    J102004.86+383713.1   10 20 03.64   38 36 56.00   2007     O     1     1     4.2     xxx
       NGC3442    J105308.10+335437.3   10 53 08.11   33 54 37.30   1733     O     1     1     3.0     xxx
      UGC05870    J104559.40+345754.0   10 45 59.38   34 57 53.60   2032     O     1     N     xxx     xxx
       NGC3900    J114909.39+270118.9   11 49 09.46   27 01 19.30   1798     O     1     1    25.0     xxx
       NGC3899    J115004.20+262846.9   11 50 04.46   26 28 45.30   1779     O     1     1     6.9     xxx
         U6070    J105946.27+332330.6   10 59 46.28   33 23 30.60   1853     O     0     1     6.2     xxx
        IC0598    J101248.56+430843.9   10 12 48.57   43 08 43.90   2256     L     0     N     xxx      <8
      UGC05990    J105238.34+342859.3   10 52 38.34   34 28 59.30   1569     O     1     1     3.0     xxx
       NGC3381    J104824.81+344241.0   10 48 24.82   34 42 41.10   1629     O     1     1    16.4     xxx
       NGC3430    J105213.73+325720.5   10 52 11.40   32 57 01.60   1586     L     1     1    98.5     9.0
       NGC3629    J112031.80+265748.0   11 20 31.81   26 57 48.10   1508     O     0     1    29.0     xxx
      UGC06637    J114024.87+282225.9   11 40 24.87   28 22 26.30   1836     O     1     1     1.7     xxx
       NGC3424    J105146.29+325402.9   10 51 46.33   32 54 02.70   1494     L     1     1    13.7     8.2
       NGC3504    J110311.20+275820.9   11 03 11.21   27 58 21.00   1525     L     1     1     7.2     9.3
       NGC3294    J103616.00+371925.0   10 36 16.25   37 19 28.90   1586     L     1     1    19.4     9.0
       NGC3380    J104812.49+283608.0   10 48 12.18   28 36 06.40   1606     L     0     1     2.8     xxx
